,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
983109,AR,5039,Dallas,Fuel Comb - Residential - Natural Gas,Nitrogen Oxides,CAP,3.084222,TON
983137,AR,5133,Sevier,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.03814214,TON
984792,AR,5013,Calhoun,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
985476,AR,5145,White,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.2653663,TON
985940,AR,5031,Craighead,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0,TON
985956,AR,5127,Scott,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.0004582004,TON
986595,AR,5135,Sharp,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
986821,AR,5087,Madison,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,60.87921882,TON
987605,AR,5141,Van Buren,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,3.2020102,TON
987673,AR,5039,Dallas,Fuel Comb - Residential - Wood,PM2.5 Primary (Filt + Cond),CAP,19.457535003,TON
989676,AR,5099,Nevada,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,25.959468381,TON
993200,AR,5087,Madison,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,1.4541959999999998,TON
996151,AR,5065,Izard,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
997493,AR,5077,Lee,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.13099960000000002,TON
997714,AR,5149,Yell,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,0.001490819,TON
997950,AR,5067,Jackson,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,0.600025289,TON
997974,AR,5099,Nevada,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.05912524,TON
