,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
1203123,NY,36013,Chautauqua,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.28330859999999997,TON
1204172,NY,36029,Erie,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,65.735939972,TON
1204357,NY,36089,St. Lawrence,Fuel Comb - Comm/Institutional - Natural Gas,Ammonia,CAP,0.25345405,TON
1205807,NY,36077,Otsego,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.08543425,TON
1208711,NY,36113,Warren,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
1210935,NY,36113,Warren,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.34405607,TON
1212233,NY,36107,Tioga,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,4.6370985000000005,TON
1212344,NY,36057,Montgomery,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.93874506,TON
1213002,NY,36123,Yates,Commercial Cooking,Carbon Monoxide,CAP,2.7825249,TON
1213088,NY,36019,Clinton,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.8322408000000001,TON
1214548,NY,36123,Yates,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.1759515,TON
1214557,NY,36111,Ulster,Fuel Comb - Residential - Other,Ammonia,CAP,0.0,TON
1216183,NY,36113,Warren,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.07462187,TON
1218547,NY,36117,Wayne,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,125.57679122,TON
1220061,NY,36089,St. Lawrence,Fuel Comb - Comm/Institutional - Oil,Carbon Monoxide,CAP,0.11758399900000001,TON
1223924,NY,36075,Oswego,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.005929814,TON
1225369,NY,36091,Saratoga,Fuel Comb - Residential - Natural Gas,Ammonia,CAP,8.518735000000001,TON
1225441,NY,36071,Orange,Commercial Cooking,Volatile Organic Compounds,CAP,23.19992768,TON
1225509,NY,36031,Essex,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
1225947,NY,36097,Schuyler,Fuel Comb - Residential - Oil,Ammonia,CAP,0.25384548,TON
1226389,NY,36023,Cortland,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,0.1131238606,TON
1229052,NY,36021,Columbia,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.00369781,TON
1231576,NY,36095,Schoharie,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.0631894473,TON
1233845,NY,36065,Oneida,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.0300447,TON
1234209,NY,36055,Monroe,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,2.4978599999999997,TON
1236270,NY,36045,Jefferson,Fuel Comb - Comm/Institutional - Oil,Ammonia,CAP,0.019858502309999998,TON
1238114,NY,36017,Chenango,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.12442851369999999,TON
1240842,NY,36123,Yates,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.003594843,TON
1243219,NY,36053,Madison,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,10.70528684,TON
1244573,NY,36069,Ontario,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,6.7988891234,TON
1245054,NY,36027,Dutchess,Fuel Comb - Residential - Other,Nitrogen Oxides,CAP,30.3772,TON
1246266,NY,36065,Oneida,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,20.188083,TON
1247048,NY,36095,Schoharie,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,2.393521,TON
1247437,NY,36051,Livingston,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.12605675800000002,TON
1248786,NY,36083,Rensselaer,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,6.7794863763,TON
1249111,NY,36097,Schuyler,Fuel Comb - Comm/Institutional - Natural Gas,Sulfur Dioxide,CAP,0.03093659,TON
1250249,NY,36099,Seneca,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.01961041,TON
1251915,NY,36071,Orange,Fuel Comb - Comm/Institutional - Biomass,Ammonia,CAP,0.09816772,TON
1251958,NY,36123,Yates,Fuel Comb - Comm/Institutional - Coal,Carbon Monoxide,CAP,0.0,TON
1253148,NY,36065,Oneida,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,125.11455,TON
1254381,NY,36021,Columbia,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.2459790000000002,TON
1254753,NY,36069,Ontario,Fuel Comb - Comm/Institutional - Biomass,Sulfur Dioxide,CAP,0.1752556,TON
1254893,NY,36005,Bronx,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,20.46913,TON
1255588,NY,36025,Delaware,Fuel Comb - Comm/Institutional - Oil,Volatile Organic Compounds,CAP,0.006621273390000001,TON
1256224,NY,36017,Chenango,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,11.88967018,TON
1258886,NY,36033,Franklin,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0031417959999999997,TON
1259917,NY,36043,Herkimer,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,14.12628712,TON
1264018,NY,36119,Westchester,Fuel Comb - Residential - Oil,Ammonia,CAP,19.6208475,TON
1266227,NY,36077,Otsego,Fuel Comb - Residential - Oil,Volatile Organic Compounds,CAP,0.706873515,TON
1268669,NY,36107,Tioga,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,10.10522019,TON
1268768,NY,36037,Genesee,Fuel Comb - Comm/Institutional - Biomass,Carbon Monoxide,CAP,1.421633,TON
1269502,NY,36099,Seneca,Fuel Comb - Comm/Institutional - Other,Carbon Monoxide,CAP,0.3005672,TON
1270782,NY,36061,New York,Fuel Comb - Comm/Institutional - Biomass,PM2.5 Primary (Filt + Cond),CAP,185.5013,TON
1272454,NY,36085,Richmond,Fuel Comb - Comm/Institutional - Other,PM2.5 Primary (Filt + Cond),CAP,0.01942544,TON
1273399,NY,36111,Ulster,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.11248989999999999,TON
1273591,NY,36005,Bronx,Fuel Comb - Comm/Institutional - Other,Ammonia,CAP,0.06471516,TON
1274001,NY,36025,Delaware,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,10.500760000000001,TON
