,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
3860221,CA,6107,Tulare,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,2.1408570338,TON
3862979,CA,6079,San Luis Obispo,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.9296359216,TON
3863546,CA,6085,Santa Clara,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,2.7002343410000003,TON
3864072,CA,6017,El Dorado,Fuel Comb - Residential - Wood,PM10 Primary (Filt + Cond),CAP,456.02331038,TON
3866441,CA,6069,San Benito,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,74.457102871,TON
3870196,CA,6103,Tehama,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.0,TON
3870741,CA,6061,Placer,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,41.67304909,TON
3872094,CA,6089,Shasta,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,5.193535,TON
3875186,CA,6003,Alpine,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.8182181600599999,TON
3875802,CA,6015,Del Norte,Fuel Comb - Comm/Institutional - Coal,PM10 Primary (Filt + Cond),CAP,0.0,TON
3876939,CA,6015,Del Norte,Fuel Comb - Comm/Institutional - Other,PM10 Primary (Filt + Cond),CAP,0.0,TON
3878135,CA,6011,Colusa,Fuel Comb - Comm/Institutional - Other,Volatile Organic Compounds,CAP,0.0,TON
3878837,CA,6025,Imperial,Fuel Comb - Residential - Oil,Sulfur Dioxide,CAP,0.5131009802000001,TON
3879509,CA,6097,Sonoma,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,29.999090000000002,TON
3883273,CA,6053,Monterey,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,33.4152081,TON
3884594,CA,6041,Marin,Commercial Cooking,Volatile Organic Compounds,CAP,6.037511,TON
3888431,CA,6105,Trinity,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.0,TON
3895384,CA,6043,Mariposa,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
3895887,CA,6115,Yuba,Fuel Comb - Comm/Institutional - Coal,Nitrogen Oxides,CAP,0.0,TON
3897425,CA,6011,Colusa,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,0.3761695,TON
3897467,CA,6011,Colusa,Fuel Comb - Comm/Institutional - Other,Sulfur Dioxide,CAP,0.0,TON
3897839,CA,6009,Calaveras,Fuel Comb - Comm/Institutional - Coal,Volatile Organic Compounds,CAP,0.0,TON
3898906,CA,6067,Sacramento,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,2.243729512,TON
3898907,CA,6041,Marin,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,3.890272785,TON
3898909,CA,6055,Napa,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,2.16615827,TON
3900151,CA,6035,Lassen,Fuel Comb - Comm/Institutional - Oil,Nitrogen Oxides,CAP,79.7182,TON
3903185,CA,6013,Contra Costa,Fuel Comb - Residential - Wood,Sulfur Dioxide,CAP,10.932309502,TON
3904991,CA,6103,Tehama,Fuel Comb - Residential - Wood,Nitrogen Oxides,CAP,17.37024621,TON
3907142,CA,6105,Trinity,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.3989811,TON
3908014,CA,6019,Fresno,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
3909235,CA,6071,San Bernardino,Fuel Comb - Residential - Other,Carbon Monoxide,CAP,4.61651,TON
3911339,CA,6001,Alameda,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,2.5857275,TON
3912964,CA,6055,Napa,Commercial Cooking,Carbon Monoxide,CAP,0.0,TON
3913105,CA,6041,Marin,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
3915250,CA,6065,Riverside,Fuel Comb - Comm/Institutional - Coal,PM2.5 Primary (Filt + Cond),CAP,0.6258,TON
