,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
142427,NC,37025,Cabarrus,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,1.3956024999999999,TON
143630,NC,37043,Clay,Fuel Comb - Comm/Institutional - Oil,Sulfur Dioxide,CAP,0.0,TON
144091,NC,37077,Granville,Fuel Comb - Residential - Oil,PM2.5 Primary (Filt + Cond),CAP,0.24361452,TON
144115,NC,37129,New Hanover,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,12.6057,TON
144663,NC,37175,Transylvania,Fuel Comb - Comm/Institutional - Oil,PM10 Primary (Filt + Cond),CAP,0.001557214,TON
146348,NC,37115,Madison,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.006053215,TON
146628,NC,37045,Cleveland,Fuel Comb - Residential - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.1011581,TON
146825,NC,37053,Currituck,Fuel Comb - Residential - Oil,PM10 Primary (Filt + Cond),CAP,0.19409291,TON
147897,NC,37005,Alleghany,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,0.2562127,TON
149004,NC,37039,Cherokee,Fuel Comb - Comm/Institutional - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.01601808,TON
149293,NC,37127,Nash,Fuel Comb - Residential - Natural Gas,Carbon Monoxide,CAP,9.26275,TON
149685,NC,37159,Rowan,Fuel Comb - Residential - Other,PM10 Primary (Filt + Cond),CAP,0.02287689,TON
149688,NC,37055,Dare,Fuel Comb - Comm/Institutional - Natural Gas,Carbon Monoxide,CAP,6.951242999999999,TON
150309,NC,37105,Lee,Fuel Comb - Residential - Oil,Ammonia,CAP,0.07371379,TON
150646,NC,37031,Carteret,Fuel Comb - Comm/Institutional - Biomass,Nitrogen Oxides,CAP,0.0,TON
150708,NC,37013,Beaufort,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.09222478,TON
151102,NC,37057,Davidson,Fuel Comb - Comm/Institutional - Coal,Sulfur Dioxide,CAP,0.0,TON
151389,NC,37079,Greene,Fuel Comb - Comm/Institutional - Natural Gas,PM2.5 Primary (Filt + Cond),CAP,0.004682495,TON
151754,NC,37139,Pasquotank,Fuel Comb - Residential - Oil,Nitrogen Oxides,CAP,2.8212052000000005,TON
152687,NC,37099,Jackson,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.006636568000000001,TON
153483,NC,37011,Avery,Fuel Comb - Comm/Institutional - Natural Gas,Volatile Organic Compounds,CAP,0.14876070000000002,TON
155601,NC,37003,Alexander,Fuel Comb - Residential - Natural Gas,PM10 Primary (Filt + Cond),CAP,0.006438462,TON
157867,NC,37059,Davie,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
157987,NC,37151,Randolph,Fuel Comb - Comm/Institutional - Natural Gas,Nitrogen Oxides,CAP,21.4635,TON
158019,NC,37077,Granville,Fuel Comb - Residential - Wood,Volatile Organic Compounds,CAP,83.827114735,TON
158058,NC,37095,Hyde,Fuel Comb - Residential - Other,Ammonia,CAP,0.01000328,TON
