,Operator ID,Operator Name,Operator Type,State,2010 - Main Miles Built,2011 - Main Miles Built,2012 - Main Miles Built,2013 - Main Miles Built,2014 - Main Miles Built,2015 - Main Miles Built,2016 - Main Miles Built,2017 - Main Miles Built,2018 - Main Miles Built,2019 - Main Miles Built,2020 - Main Miles Built
168,31487,MAINE NATURAL GAS,Investor Owned,ME,13,12.100000000000001,5.0,49.18,5.219999999999999,2.0,9.599999999999994,3.1000000000000085,5.5,7.700000000000003,6.8
169,31483,CITY OF SCRIBNER UTILITIES,Municipal Owned,NE,0,0,0,0,0,0,0.16,0.0,0.0,0.09,0
170,31481,BANGOR NATURAL GAS CO.,Investor Owned,ME,8.25,17.15,16.733000000000004,13.369,24.016,6.438999999999993,8.449000000000012,10.179999999999993,13.137,9.507000000000005,11.29
171,31473,NORTHEAST MS NATURAL GAS DISTRICT,Cooperative,MS,0,0,2,0,7,0,37,20,0,5,5
172,31470,VECTREN ENERGY DELIVERY OF OHIO,Investor Owned,OH,36,47,46,73,4.170999999999992,162.296,94.77800000000002,97.67100000000005,92.774,100.72399999999993,98.765
173,31433,CITY OF HENNING,Municipal Owned,MN,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0
174,31432,ALLIANT GAS,Privately Owned,AZ,0,1.125,1.125,1.75,0.625,0.5,0.75,1.125,1,1.5,1.5
175,31416,CITY OF WALL LAKE,Municipal Owned,IA,0,0,0,0,0,0,0,0,0,0,0
176,31413,COMMUNITY ENERGY RESOURCE COOPERATIVE,Cooperative,OH,1.94,0.3900000000000001,0.31000000000000005,0.18900000000000006,1.1079999999999997,1.222,1.3630000000000004,0.7269999999999994,0.24800000000000022,0.8970000000000002,0
177,31412,GUTHRIE NATURAL GAS,Municipal Owned,KY,0,0,0,0,0,0,0,1,0,3.3,0
